,waktu,username,tweet
34,2022-06-15 15:43:36,donotezz_,@subschfess Iihh koq komennya pada iya sihhh jangan donggg...gak! gak! Tahun ajaran baru full PTM tp tetep prokes!!!
35,2022-06-15 15:42:37,papasconheladoO,@kadahiba1703 OE SI PTM
36,2022-06-15 15:32:06,outropeace,PTM COMO QUE LOONA EN MEXICO I WANNA D WORD AASSAHSJIWI 😭😭😭😭😭😭
37,2022-06-15 15:31:05,YOONASAHl,"@schfess Tenang aja nder, aku yakin banget bakalan 100% ptm. Gatau dari mana tapi kek feeling aja gitu"
38,2022-06-15 15:27:47,lucidkosmos,"@schfess Kataku sih tetep ptm nder, tenang aja. Tinggal doa aja gaada lonjakan yang drastis banget"
39,2022-06-15 15:26:29,fatehahnailah,Balik ptm mmg tidur je terus. Sampai Amir balik pun tk larat nk bukak mata pastu suruh dia join tidur sekaki😂 Belum… https://t.co/on1y5Guhg4
40,2022-06-15 15:24:16,sangnationn,Besok ptm mls bgt nder
41,2022-06-15 15:20:10,nikshinoya,"kyk lu ngapain banget anjir daring bangun bangun main hp terys sampe kelar sekolah depan laptop, ngerjain tugas di… https://t.co/q7vSufrOOO"
42,2022-06-15 15:19:06,nikshinoya,"gAKMAU ANJINGGGGG, DAH NYAMAN PTM https://t.co/UXQ7FTr1t1"
43,2022-06-15 15:17:21,apriliadamaa,@Askrlfess hadeh blm kesampean ptm gw😭
44,2022-06-15 15:16:12,dasheuw,@ca_khansa IYA COO MANA PAKE ZOOM GAK NGERASAIN KLS 9 PTM AT LEAST SEHARI LAH SEDIH BGT
45,2022-06-15 15:08:40,yooniehunter,PTM JEON JUNGKOOK 😭😭😭😭
46,2022-06-15 15:04:25,Hope21686275,@Kentangmehong__ Ini adalah aku saat ptm
47,2022-06-15 15:02:36,fancy__youu,@namakuwinter Hmmm iya sih mnding ptm
48,2022-06-15 14:57:26,tefykjas,PTM Ganamoooos jk cantando Run BTS 💜💜💜😎 https://t.co/CgmEnXCgNI
49,2022-06-15 14:56:39,yunkuka_la,JAHDKSHDS PTM JEON JUNGKOOK ERES ICONIC
50,2022-06-15 14:55:50,JjNandia,"@Askrlfess lu ga punya temen ya nder klo ptm? mff yh klo bener 
GW GA SUKA LU DOA KEK GTU AJG TAI"
51,2022-06-15 14:50:48,da7Taeee,Run!!!! Ptm
52,2022-06-15 14:47:42,lvkoostar,Ptm run BTS
53,2022-06-15 14:47:14,93hsjk,RUN BTS PTM https://t.co/IseJyijfnf
54,2022-06-15 14:43:24,luvvsubin,"@Askrlfess daring aja sendiri nder, w mah maunya PTM"
55,2022-06-15 14:40:58,wronghertz,"@Askrlfess Nggak mau, nggak enak, kamu aja. Ptm seru dan ku pengin punya temen."
56,2022-06-15 14:38:25,namakuwinter,"even though i hate ptm so fucking much and miss pjj moments, but i realized that, pjj just made me makin mageran (m… https://t.co/7bvhL08PLz"
57,2022-06-15 14:31:02,baumtorte,"aku mulai menggeser mindset-ku dengan, “PTM skrg gak terkontrol banget dikit-dikit hipertensi, DM, dsb, padahal u t… https://t.co/BRYs685fWW"
58,2022-06-15 14:21:50,hobialkr,CANTA RUN BTS PTM
59,2022-06-15 14:18:42,dydykats,@TokimitsuLover_ BASTAAAA NO SIY DALAS PTM
60,2022-06-15 14:10:15,sariiivejarano,HARRYYYY SHSGSUSFSGSG XFAVOOOOOR TE AMO PTM
61,2022-06-15 13:59:51,cpf2323,Jadi melow mau pisah sama anak-anak 🥲 mana belum puas PTM cuma beberapa kali ☹️
62,2022-06-15 13:56:50,stars_shua,"kita tuh ber3 sirkelan gitulah. anggap aja si L ama si S. F nya aku, nah kita kan udh PTM 100% jdi udh keak deketan… https://t.co/psRECXNdmF"
