waktu,username,tweet,tweet_cleaned,tweet_tokenization
6/10/2022 0:42,RutanKebumen,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/8Fci03IpxV",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 23:41,LapasBrebes,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/8ZwWy23llc",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 22:41,RutanWonosobo,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/iaF5mDdXFf",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 22:22,rutankudus,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/PHnTn4286W",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 21:47,rutanblora,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/JQTHWmcxP2",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 21:06,lapas_cilacap,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/jfEmLos0Ow",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
6/9/2022 17:12,bhp_semarang,"Kakanwil Kemenkumham Jateng A Yuspahruddin

Tatap Muka dengan Napi
Ini Pesan Kalapas Semarang… https://t.co/wnX9dU59D4",kakanwil kemenkumham jateng a yuspahruddin  tatap muka dengan napi ini pesan kalapas semarang  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'ini', 'pesan', 'kalapas', 'semarang', '']"
6/9/2022 17:10,bhp_semarang,"Kakanwil Kemenkumham Jateng A Yuspahruddin

Tatap Muka dengan Napi
Ini Pesan Kalapas Semarang… https://t.co/1I55fZE62J",kakanwil kemenkumham jateng a yuspahruddin  tatap muka dengan napi ini pesan kalapas semarang  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'ini', 'pesan', 'kalapas', 'semarang', '']"
6/9/2022 15:11,lapas_pati,"3.KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selal… https://t.co/Ev0LMRuhwv",  kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selal  ,"['', 'kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selal', '']"
6/9/2022 14:44,kanim_semarang,"KAKANWIL KEMENKUMHAM JATENG, A YUSPAHRUDDIN: Tatap Muka Dengan Napi, Kalapas Kelas I Semarang: "" Pentingnya Selalu… https://t.co/rj0DSGAbUf",kakanwil kemenkumham jateng  a yuspahruddin  tatap muka dengan napi  kalapas kelas i semarang    pentingnya selalu  ,"['kakanwil', 'kemenkumham', 'jateng', 'a', 'yuspahruddin', 'tatap', 'muka', 'dengan', 'napi', 'kalapas', 'kelas', 'i', 'semarang', 'pentingnya', 'selalu', '']"
